========================================
  TurtleBot4 Wall Follower (RANSAC)    
========================================

[WallFollower] Connected to shared memory segments:
  - /shm_scan
  - /shm_odom
  - /shm_cmd_vel

[WallFollower] Initialized. Target distance: 0.4m.
[WallFollower] Running... Press Ctrl+C to stop

[Control] Distance to wall: 0.418711m | Angle error: -20.6069° | Front clearance: 0.132m
[Control] Distance to wall: 0.418333m | Angle error: -20.7553° | Front clearance: 0.132m
[Control] Distance to wall: 0.418524m | Angle error: -20.5645° | Front clearance: 0.132m
[Control] Distance to wall: 0.418524m | Angle error: -20.5645° | Front clearance: 0.132m
[Control] Distance to wall: 0.417788m | Angle error: -21.1336° | Front clearance: 0.132m
[Loop 300] Processing scans...[Control] Distance to wall: 0.417788m | Angle error: -21.1336° | Front clearance: 0.132m
[Control] Distance to wall: 0.417889m | Angle error: -21.1513° | Front clearance: 0.132m
[Control] Distance to wall: 0.418256m | Angle error: -20.8608° | Front clearance: 0.132m
[Control] Distance to wall: 0.418256m | Angle error: -20.8608° | Front clearance: 0.132m
[Control] Distance to wall: 0.417735m | Angle error: -21.1105° | Front clearance: 0.132m
[Control] Distance to wall: 0.418026m | Angle error: -20.9199° | Front clearance: 0.132m
[Control] Distance to wall: 0.418026m | Angle error: -20.9199° | Front clearance: 0.132m
[Control] Distance to wall: 0.418156m | Angle error: -21.177° | Front clearance: 0.133m
[Control] Distance to wall: 0.418156m | Angle error: -21.177° | Front clearance: 0.133m
[Control] Distance to wall: 0.418064m | Angle error: -21.1871° | Front clearance: 0.133m
[Control] Distance to wall: 0.418931m | Angle error: -20.8087° | Front clearance: 0.132m
[Control] Distance to wall: 0.418681m | Angle error: -20.8394° | Front clearance: 0.132m
[Control] Distance to wall: 0.418681m | Angle error: -20.8394° | Front clearance: 0.132m
[Control] Distance to wall: 0.418231m | Angle error: -20.9124° | Front clearance: 0.132m
